Standardized Precipitation Index - SPI: Campinas in the period from 01/01/1947 to 05/01/2011;;;;;;
Period;1 month;3 months;6 months;9 months;12 months;24 months
June;1.42;0.92;-0.13;0.07;0.28;1.01
July;0.41;0.83;0.41;-0.02;0.34;1.06
August;-0.53;0.85;1.02;-0.20;0.06;1.01
September;0.13;-0.14;0.49;-0.25;-0.03;1.02
October;0.09;-0.23;0.28;0.18;-0.14;0.96
November;-0.66;-0.44;0.03;0.53;-0.36;0.72
December;0.13;-0.35;-0.38;0.06;-0.33;0.89
year 1972;;;;;;
January;0.63;0.11;-0.10;0.18;0.14;0.65
February;0.74;0.60;0.29;0.46;0.75;0.23
March;-1.08;0.28;-0.01;-0.13;0.16;0.08
April;0.72;0.17;0.13;-0.04;0.17;0.13
May;0.16;-0.42;0.28;0.03;0.19;0.16
June;-1.19;-0.13;0.13;-0.09;-0.19;0.03
July;1.80;0.50;0.29;0.21;0.06;0.23
August;1.23;1.15;0.25;0.50;0.28;0.19
September;0.63;1.48;0.92;0.63;0.37;0.19
October;1.02;1.24;1.15;0.77;0.56;0.26
November;0.33;0.90;1.19;0.64;0.69;0.22
December;-1.77;-0.46;0.48;0.30;0.30;-0.08
Year 1973;;;;;;
January;-1.01;-1.40;-0.42;-0.23;-0.12;-0.04
February;-1.09;-1.89;-1.09;-0.59;-0.74;0.02
March;-0.60;-1.31;-1.28;-0.58;-0.65;-0.32
April;0.57;-0.87;-1.46;-0.83;-0.65;-0.32
May;-0.21;-0.43;-1.62;-1.09;-0.68;-0.33
June;0.22;0.06;-1.03;-1.12;-0.53;-0.50
July;1.09;0.26;-0.60;-1.24;-0.72;-0.43
August;-0.54;0.27;-0.24;-1.39;-0.97;-0.43
September;-0.26;0.01;-0.07;-1.04;-1.09;-0.45
October;0.31;-0.27;-0.15;-0.69;-1.25;-0.42
November;0.26;0.03;0.08;-0.24;-1.19;-0.29
December;0.38;0.36;0.22;0.15;-0.58;-0.25
year 1974;;;;;;
January;0.63;0.55;0.29;0.28;-0.19;-0.26
February;-1.37;-0.05;-0.12;-0.08;-0.29;-0.68
March;0.33;-0.12;0.07;-0.01;-0.05;-0.46
April;-0.55;-0.85;-0.07;-0.25;-0.21;-0.58
May;-1.24;-0.52;-0.28;-0.35;-0.29;-0.66
June;1.72;0.36;-0.01;0.13;0.06;-0.33
